,Unnamed: 0,阶段,态度,count,总数量,rate,微博正文
0,0,1.0,中立,37,60,0.6166666666666667,据俄罗斯卫星通讯社、美国福克斯新闻等媒体27日消息，美国总统拜登就俄乌冲突接受采访时认为，美国有两个选择，一个是与俄罗斯开战、开启“第三次世界大战”，除此之外就是制裁俄罗斯。拜登接受采访谈对俄“两选项”，制裁，或者开启“第三次世界大战”
1,1,1.0,支持,17,60,0.2833333333333333,据俄罗斯卫星通讯社17日报道，随着俄乌冲突持续，西方国家的反俄情绪高涨。近日，瑞典一名女警因在警局电脑上使用普京肖像作为屏保而遭到内部调查。观察者网微丢视频的微博视频瑞典女警察接受调查，理由是拿普京照片当电脑屏保
2,2,1.0,反对,6,60,0.1,仿佛世界从没有真正进入过和平年代，不是这里冲突就是那里开火。想到年幼时在电视前追伊拉克战争报道，跟我爸还调侃开文字玩笑…现在想想真是愚昧.对罪恶的审判不在于我们，而对于你我一样的生命应该心存怜悯。保护动物都是保护人类自己，怜悯他人不也是怜悯自己吗？我们都是.记录下这一条，“那年今日”会提醒我：今天是俄对乌行动第三天。.....
3,3,2.0,支持,71,150,0.4733333333333333,美国为了遏制中国日趋强驴技穷，狗急跳墙，无所不用其极了，中美博弈进入实质性阶段，遏制与反遏制达到白热化程度，一切靠实力说话，后发制人，中国必将强力反制。俄乌冲突、伊核协议、半岛问题，既是挑战，更是机遇，中国有机会迎来机遇期和缓冲空间，世界性的经济危机、难民危机、能源危机、粮食危机都是美国一手制造的，多重危机叠加，美国已经不能独善其身，反噬日益严重，如果美欧深陷危机牵制依然不敢直接下场参与俄乌冲突，对中国就是重大利好。新冠疫情依然存在巨大的不确定性，美欧极有可能再次遭到新一轮疫情的强烈冲击，坚持动态清零，中国更加主动……6月2日外交部发言人赵立坚主持例行记者会。美国彭博社记者提问称：周三，拜登政府表示将准备禁止企业进口产自新疆的商品，除非企业可以明确证明进口商品不涉及强迫劳动。...“如美方执意而为，中方将采取有力措施”来自@凤凰新闻客户端
4,4,2.0,中立,63,150,0.42,5月4日，乌克兰总统泽连斯基5月3日对美国媒体表示，乌克兰的最终目标是“恢复领土完整”。另据乌克兰媒体同一天报道，泽连斯基还重申，“如果乌克兰的中立地位有助于达成结束冲突的协议，那么，乌克兰将考虑对此进行全民公投”——但他强调，只有在“获得国际安全保障以及俄罗斯对安全保障认可”的前提下，乌克兰才会通过公投寻求中立地位。
5,5,2.0,反对,16,150,0.1066666666666666,据美国《国会山报》报道，乌克兰顿涅斯克州的州长帕夫洛·基里连科()日前接受美国采访时表示，俄罗斯军队持续的袭击和轰炸，已经将马里乌波尔“从地球上抹掉”了。当时，问他俄军是否能夺下这座乌克兰东部的城市，他则表示这座城市已经“不存在”了，所以俄军没什么可夺走的了。“敌人或许能夺走马里乌波尔所在的土地，但马里乌波尔城已经被俄罗斯从地球上抹掉了”，基里连科说。不过，这名乌克兰官员又表示，当地乌克兰军队还没有放弃，仍在“英勇”地与俄军作战，并称马里乌波尔目前仍在乌克兰方面的控制下。此前，俄罗斯一直在指控乌克兰在对顿涅斯克等乌东地区的俄罗斯平民进行屠杀，而乌克兰方面则指控俄军在杀害平民。马里乌波尔的市长宣称，已有1万名平民在冲突中丧生。
6,6,3.0,中立,31,60,0.5166666666666667,泽列斯基通过签署申请书，表达了加入北曰的强烈愿望（自然北曰是不可能接纳乌克兰的）：“今天，乌克兰正在申请使其成为法律……我们正在迈出决定性的一步，签署乌克兰加速加入北曰的申请。”美国安全顾问沙利文说：“我们的观点是，我们支持乌克兰的最佳方式是在乌克兰进行实际的地面支持。”美国众议长佩洛西拒绝明确支持这一提议，但称她支持为基辅提供“安全保障”。棉花絮分析根据国内对美国了解程度较深的，和获取信息量较多的棉花絮而言，再次强调下从还有各种机密文件获取的信息1、美国宁可和中国开战也不愿意和俄罗斯开战，核武器是个重要因素，普京的强硬也是因素2、美国国内的白左集团始终把乌克兰做为棋子，2008年其就在规划在乌克兰建立一个听命于其的政权，直接去俄罗斯对抗3、美国一直拒绝和俄正面冲突，因为普京知道白左头目所处的地方，而他们很怕死。4、联想到美把台湾称呼为不沉的航母，就知道，台湾在美国眼里只是他的航母，是他的棋子，不可能为了棋子去承担巨大的风险。5、一些如乌克兰、台湾这样的棋子居然想把自己和主人平起平坐，搞笑的存在。泽连斯基此举自讨没趣，自己打脸自己。搞笑
7,7,3.0,支持,22,60,0.3666666666666666,普京宣布部分动员后，俄罗斯国防部就表示，在部分动员过程中，将征召30万名预备役人员。这次乌克兰大反攻已经暴露了俄罗斯缺兵的大问题，所以俄罗斯这次进行部分动员，要把兵力不足的问题解决。俄罗斯是合同兵才能出国作战，但23日要开始的公投，一旦顿涅茨克、卢甘斯克、扎波罗热地区和赫尔松地区加入俄罗斯，就意味着俄罗斯的义务兵也可以直接入驻这4个地区。那么俄罗斯的兵力不足问题就可以大大缓解。普京今天发表全国电视讲话，就是在做动员，措辞比之前几次都要严厉得多。普京在这次电视讲话里宣布做“部分动员”时，也提到目前俄乌战场的战线很长，所以俄罗斯不得不进行“部分动员”。看这样子，俄乌冲突还仍然将持续很长一段时间，各方都没有退路。开始进入摊牌期了。
8,8,3.0,反对,7,60,0.1166666666666666,俄乌军事冲突2月爆发，本以为只是一场短暂的局部战争，但从开战至今已经8个月了。就在近期，北溪管道爆炸、乌东地区公投入俄、克里米亚大桥爆炸、乌克兰袭击俄边境村庄、乌克兰表示大桥被炸只是一系列行动的开始、俄在国内大规模招募军人、基辅市中心爆炸------这些接二连三的事件表明，俄乌局势在进一步恶化，战争的阴云仍然笼罩在动荡的欧洲，这场战争什么时候能够结束，人们期盼的和平什么时候能够到来，目前为止，我们依然看不到希望。今天，乌克兰首都，这是乌克兰的悲剧，是欧洲的悲剧，也是全人类的悲剧------
9,9,4.0,中立,214,420,0.5095238095238095,以色列对哈马斯宣战，战事升级了，下一步情况会更加复杂，双方都有外援，黎巴嫩真主党等恐怕也会进入战团……我当小娃的时候，就听说巴以冲突，当时老分不清巴基期坦与巴勒思坦，一直过了几十年，我都成了退休老汉，冲突仍然在继续，这一次还有加深与失控的危险。地球其实并不大，俄乌还在打着呢，巴以又打起来了，打来打去，终究还是平头老百姓受苦受难呀……祈祷和平，一切吉祥🙏🙏！
10,10,4.0,支持,169,420,0.4023809523809524,美国正式宣布将向乌克兰提供价值18.5亿美元的军事援助，其中包括“爱国者”防空导弹系统。在这项命令中，美国总统拜登授权美国国务卿向乌克兰额外提供军事援助，“用于国防部的国防目的和服务，以及乌克兰军队的军事教育和培训”。美国国务卿安东尼·布林肯表示，援助总额为18.5亿美元，其中包括“爱国者”()防空导弹系统。乌克兰外交部部长德米特罗·库列巴认为，美国总统拜登向乌克兰提供“爱国者”防空系统的决定是一个先例，为盟国采取类似行动打开了大门。乌克兰武装部队空军发言人尤里·伊格纳特称，乌克兰军方可以在几个月内掌握“爱国者”防空导弹系统。
11,11,4.0,反对,37,420,0.0880952380952381,侵略者正试图招募被强行驱逐出境的乌克兰囚犯到俄罗斯雇佣军俄罗斯将位于暂时占领的和的3500名乌克兰囚犯强行驱逐到，并鼓励囚犯加入俄罗斯雇佣军。此事由特种作战部队下属的乌克兰民族抵抗中心通报。鼓励其国内囚犯加入战场，这并不是什么秘密。但现在，他们正试图招募被强行驱逐出境的乌克兰人。尽管他们积极鼓励，但大多数囚犯拒绝与瓦格纳签订合同。也正因如此，俄军为他们创造了难以忍受的生活条件。
12,12,5.0,支持,72,150,0.48,达沃斯论坛的重点还是在巴以战争网友的评论：首先如果不是东大崛起，西大从2012年起要把60%兵力放在亚太，中东会出现权力真空吗？西大不在中东抽兵，伊朗土耳其能迅速在中东扩张影响力吗？东西半球是联动的。没有东大的顶住，西大会吸血这么费劲吗？西大如果吸血容易，又何必让北约挑衅刺激毛熊从而利用毛熊反击来收割欧洲？没有俄乌战争，沙伊又何必急于和解来管控风险？没有沙伊和解，西大又何必急于促成沙以和解以缓解以色列的战略压力？没有沙以和解加速，哈马斯担心被卖，主动破坏进程，又哪来的阿克萨洪水？世界局势真是牵一而动全身啊
13,13,5.0,中立,61,150,0.4066666666666667,顺便再多说两句吧。军事问题上，很多时候对错不是绝对的。两年前，俄军北线选择直冲基辅，未必不是妙手。但是在北线总兵力只有两万余人且一两个月内都不追加的情况下选择直冲基辅，未免有些太把自己当回事了。
14,14,5.0,反对,17,150,0.1133333333333333,沙利文在乌俄秘密行动遭遇俄军伏击，瞬间引起全球轰动。事件如同震雷般迅速蔓延全球，引起担忧。仅仅三个小时之后，基辅酒店陷入激烈战火，乌拉尔中心基地与图-160远程轰炸机联合发动猛攻，共投掷精准制导炸弹33枚，将硝烟弥漫到每一寸土地……国际氛围被紧张挑逗得几乎失控，冲突一触即发，世界目光齐聚危机中心，各国政府纷纷展开紧急磋商，寻求化解紧张局面，防止冲突再升级。
15,15,0.0,中立,406,840,0.4833333333333333,以色列对哈马斯宣战，战事升级了，下一步情况会更加复杂，双方都有外援，黎巴嫩真主党等恐怕也会进入战团……我当小娃的时候，就听说巴以冲突，当时老分不清巴基期坦与巴勒思坦，一直过了几十年，我都成了退休老汉，冲突仍然在继续，这一次还有加深与失控的危险。地球其实并不大，俄乌还在打着呢，巴以又打起来了，打来打去，终究还是平头老百姓受苦受难呀……祈祷和平，一切吉祥🙏🙏！
16,16,0.0,反对,83,840,0.0988095238095238,据美国《国会山报》报道，乌克兰顿涅斯克州的州长帕夫洛·基里连科()日前接受美国采访时表示，俄罗斯军队持续的袭击和轰炸，已经将马里乌波尔“从地球上抹掉”了。当时，问他俄军是否能夺下这座乌克兰东部的城市，他则表示这座城市已经“不存在”了，所以俄军没什么可夺走的了。“敌人或许能夺走马里乌波尔所在的土地，但马里乌波尔城已经被俄罗斯从地球上抹掉了”，基里连科说。不过，这名乌克兰官员又表示，当地乌克兰军队还没有放弃，仍在“英勇”地与俄军作战，并称马里乌波尔目前仍在乌克兰方面的控制下。此前，俄罗斯一直在指控乌克兰在对顿涅斯克等乌东地区的俄罗斯平民进行屠杀，而乌克兰方面则指控俄军在杀害平民。马里乌波尔的市长宣称，已有1万名平民在冲突中丧生。
17,17,0.0,支持,351,840,0.4178571428571428,乌民众喊话普京：“普京，如果你想轰炸，炸这里，我给你坐标！”近日，乌克兰利沃夫一名男子在社交媒体发布视频，晒出了停留在利沃夫海关的西方国家给乌克兰军队的“军事援助”——数十辆豪华汽车。他愤怒讽刺道，这就是乌克兰军队最需要的东西。视频末尾，他更是呼吁俄军，炸掉这些汽车。乌克兰国家海关署第一副署长亚历山大·舒茨基（ОлександрЩуцький）15日表示，自俄乌军事冲突爆发以来，大约有8万辆汽车以军事援助的名义零关税进入乌克兰，造成边境堵塞，阻碍了人道主义援助物资的运送。
